case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,contributing_factors,bomb_input_verified_absent
LUN-S2-F4885-T1,canonical_fresh_attempt_causal_sample,4885,35,産霊「ファーストピラミッド」,178.7745819091797,156.0,128.0,down,37,0,0,9999.0,12.110044479370117,-2.5,,,enemy_body_contact_candidate,corridor_deadline_miss,True
LUN-S2-F5974-T1,post_respawn_discovery_sample,5974,35,産霊「ファーストピラミッド」,263.67138671875,389.38519287109375,114.0,up_fast,17,203,0,-1.3464539051055908,-1.3464539051055908,-10.615518703846753,1.354095458984375,,modeled_committed_prefix_collision,corridor_deadline_miss;fast_mode,True
LUN-S2-F7341-T1,post_respawn_discovery_sample,7341,,,41.460208892822266,288.61871337890625,114.0,down_fast,33,440,0,-2.8880977630615234,-2.8880977630615234,-5.134947776794434,-0.640350341796875,,observed_bullet_overlap,corridor_deadline_miss;fast_mode,True
LUN-S2-F13729-T1,post_respawn_discovery_sample,13729,,,250.82876586914062,394.77606201171875,114.0,up_fast,17,324,0,-3.9372894763946533,-3.9372894763946533,-4.55518053575458,2.35797119140625,,modeled_committed_prefix_collision,corridor_deadline_miss;fast_mode,True
LUN-S2-F14937-T1,post_respawn_discovery_sample,14937,38,始符「エフェメラリティ137」,69.84335327148438,307.1048583984375,110.0,right_fast,129,293,0,-1.8665039539337158,-3.3685736656188965,-21.313454216078306,1.063629150390625,,modeled_committed_prefix_collision,corridor_deadline_miss;fast_mode,True
LUN-S2-F16585-T1,post_respawn_discovery_sample,16585,42,野符「GHQクライシス」,305.0399475097656,418.77886962890625,108.0,up_fast,17,482,0,-1.2252686023712158,-1.791723370552063,-17.23743657666948,-1.508880615234375,,observed_bullet_overlap,corridor_deadline_miss;fast_mode,True
LUN-S2-F17242-T1,post_respawn_discovery_sample,17242,42,野符「GHQクライシス」,8.0,410.8787841796875,101.0,up_fast,17,461,0,1.6290099620819092,-2.9685420989990234,-10.204399774314147,-2.685699462890625,,observed_bullet_overlap,playfield_boundary;corridor_deadline_miss;fast_mode,True
LUN-S2-F21658-T1,post_respawn_discovery_sample,21658,,,106.50328063964844,408.0084228515625,85.0,right_fast,129,417,0,-1.6795990467071533,-1.6795990467071533,-12.153229112388832,2.9838409423828125,,modeled_committed_prefix_collision,corridor_deadline_miss;fast_mode,True
LUN-S2-F23093-T1,post_respawn_discovery_sample,23093,46,国体「三種の神器　郷」,75.22201538085938,388.08184814453125,70.0,up_fast,17,379,0,0.7586410641670227,0.7586410641670227,-0.6956306520136906,-1.00616455078125,,observed_bullet_overlap,corridor_deadline_miss;fast_mode,True
LUN-S2-F23500-T1,post_respawn_discovery_sample,23500,46,国体「三種の神器　郷」,363.32684326171875,422.2777099609375,55.0,up,21,347,0,2.3146326541900635,-1.628576397895813,-6.586762090438533,-1.345733642578125,,observed_bullet_overlap,corridor_deadline_miss,True
LUN-S2-F25115-T1,post_respawn_discovery_sample,25115,50,虚史「幻想郷伝説」,213.72840881347656,432.0,55.0,right_fast,129,233,180,0.7065756320953369,-2.428948163986206,-2.1529692102641853,8.5460205078125,7.958053773331695,active_laser_without_observed_overlap,playfield_boundary;corridor_deadline_miss;action_lag_over_model;fast_mode,True
LUN-S2-F25433-T1,post_respawn_discovery_sample,25433,50,虚史「幻想郷伝説」,105.8897705078125,414.1102294921875,39.0,down_left_fast,97,335,200,1.657280683517456,-6.849898338317871,,18.05023193359375,7.82000921473051,active_laser_without_observed_overlap,action_lag_over_model;fast_mode,True
LUN-S2-F25742-T1,post_respawn_discovery_sample,25742,50,虚史「幻想郷伝説」,171.16555786132812,432.0,24.0,left_fast,65,333,190,-5.619250297546387,-6.999266624450684,,13.001608206253003,5.229519239408907,modeled_committed_prefix_collision,playfield_boundary;action_lag_over_model;fast_mode,True
LUN-S2-F26067-T1,post_respawn_discovery_sample,26067,50,虚史「幻想郷伝説」,153.6568603515625,432.0,10.0,left_fast,65,280,200,-1.8761628866195679,-6.824287414550781,,9.918914794921875,-5.4118751567468015,observed_laser_overlap,playfield_boundary;action_lag_over_model;fast_mode,True
LUN-S2-F26378-T1,post_respawn_discovery_sample,26378,50,虚史「幻想郷伝説」,110.54412841796875,409.0001220703125,1.0,down_left_fast,97,279,190,2.649137020111084,-6.239283561706543,,2.5742950439453125,0.8782083385539661,active_laser_without_observed_overlap,action_lag_over_model;fast_mode,True
LUN-S2-F26700-T1,post_respawn_discovery_sample,26700,50,虚史「幻想郷伝説」,205.2020263671875,432.0,1.0,right_fast,129,249,200,-0.8993561267852783,-7.052735328674316,,10.180820244796365,7.200648307927288,modeled_committed_prefix_collision,playfield_boundary;action_lag_over_model;fast_mode,True
